stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,5.784346,1.144508,1.144508,0.055000,1.089508,1.089508,55,-6.10,-3.48,0.975,OK
dut_forward,2,5.774893,1.142638,1.142638,0.055000,1.087638,1.087638,55,-6.09,-3.49,0.973,OK
dut_forward,3,5.787293,1.145091,1.145091,0.055000,1.090091,1.090091,55,-6.10,-3.49,0.992,OK
dut_forward,4,5.787325,1.145098,1.145098,0.055000,1.090098,1.090098,55,-6.12,-3.49,0.959,OK
dut_forward,5,5.775230,1.142705,1.142705,0.055000,1.087705,1.087705,55,-6.09,-3.47,0.963,OK
dut_reversed,1,5.781593,1.143963,1.143963,0.055000,1.088963,1.088963,55,-6.08,-3.50,0.958,OK
dut_reversed,2,5.762408,1.140167,1.140167,0.055000,1.085167,1.085167,55,-6.08,-3.47,0.966,OK
dut_reversed,3,5.758661,1.139426,1.139426,0.055000,1.084426,1.084426,55,-6.10,-3.50,0.955,OK
dut_reversed,4,5.784874,1.144613,1.144613,0.055000,1.089613,1.089613,55,-6.07,-3.50,0.962,OK
dut_reversed,5,5.760538,1.139798,1.139798,0.055000,1.084798,1.084798,55,-6.10,-3.49,0.964,OK
