stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,5.532751,1.094727,1.094727,0.055000,1.039727,1.039727,55,-22.45,-3.48,5.652,OK
dut_forward,2,5.672999,1.122477,1.122477,0.055000,1.067477,1.067477,55,-22.54,-3.48,5.490,OK
dut_forward,3,5.586652,1.105392,1.105392,0.055000,1.050392,1.050392,55,-22.46,-3.50,5.656,OK
dut_forward,4,5.768739,1.141420,1.141420,0.055000,1.086420,1.086420,55,-22.40,-3.49,5.400,OK
dut_forward,5,6.488628,1.283860,1.283860,0.055000,1.228860,1.228860,55,-21.97,-3.50,5.186,OK
dut_reversed,1,5.768940,1.141460,1.141460,0.055000,1.086460,1.086460,55,-22.50,-3.47,5.514,OK
dut_reversed,2,4.998581,0.989034,0.989034,0.055000,0.934034,0.934034,55,-22.02,-3.48,5.613,OK
dut_reversed,3,4.797200,0.949188,0.949188,0.055000,0.894188,0.894188,55,-22.06,-3.48,6.052,OK
dut_reversed,4,4.827967,0.955276,0.955276,0.055000,0.900276,0.900276,55,-22.00,-3.48,6.081,OK
dut_reversed,5,4.848461,0.959331,0.959331,0.055000,0.904331,0.904331,55,-22.16,-3.49,6.204,OK
