stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,0.310915,0.061519,0.061519,0.055000,0.006519,0.006519,55,-4.62,-4.57,0.142,OK
dut_forward,2,0.330622,0.065418,0.065418,0.055000,0.010418,0.010418,55,-4.61,-4.58,0.155,OK
dut_forward,3,0.323044,0.063919,0.063919,0.055000,0.008919,0.008919,55,-4.62,-4.57,0.155,OK
dut_forward,4,0.311427,0.061620,0.061620,0.055000,0.006620,0.006620,55,-4.64,-4.58,0.168,OK
dut_forward,5,0.331194,0.065531,0.065531,0.055000,0.010531,0.010531,55,-4.61,-4.56,0.157,OK
dut_reversed,1,5.932183,1.173760,1.173760,0.055000,1.118760,1.118760,55,-6.47,-4.56,1.007,OK
dut_reversed,2,5.931230,1.173571,1.173571,0.055000,1.118571,1.118571,55,-6.47,-4.56,1.014,OK
dut_reversed,3,5.915148,1.170389,1.170389,0.055000,1.115389,1.115389,55,-6.48,-4.53,0.967,OK
dut_reversed,4,5.912077,1.169781,1.169781,0.055000,1.114781,1.114781,55,-6.47,-4.54,1.025,OK
dut_reversed,5,5.924859,1.172310,1.172310,0.055000,1.117310,1.117310,55,-6.46,-4.57,0.991,OK
