stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,7.958687,1.574730,1.574730,0.055000,1.519730,1.519730,55,-6.85,-3.44,4.381,OK
dut_forward,2,7.953973,1.573797,1.573797,0.055000,1.518797,1.518797,55,-6.87,-3.47,4.370,OK
dut_forward,3,7.954262,1.573854,1.573854,0.055000,1.518854,1.518854,55,-6.84,-3.44,4.372,OK
dut_forward,4,7.936206,1.570282,1.570282,0.055000,1.515282,1.515282,55,-6.85,-3.45,4.376,OK
dut_forward,5,7.984469,1.579831,1.579831,0.055000,1.524831,1.524831,55,-6.83,-3.46,4.358,OK
dut_reversed,1,7.951667,1.573341,1.573341,0.055000,1.518341,1.518341,55,-6.86,-3.46,4.437,OK
dut_reversed,2,7.944044,1.571833,1.571833,0.055000,1.516833,1.516833,55,-6.83,-3.45,4.389,OK
dut_reversed,3,7.947619,1.572540,1.572540,0.055000,1.517540,1.517540,55,-6.87,-3.45,4.359,OK
dut_reversed,4,7.939541,1.570941,1.570941,0.055000,1.515941,1.515941,55,-6.85,-3.46,4.406,OK
dut_reversed,5,7.941562,1.571341,1.571341,0.055000,1.516341,1.516341,55,-6.85,-3.46,4.419,OK
