stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,8.534057,1.688574,1.688574,0.055000,1.633574,1.633574,55,-8.07,-4.58,4.764,OK
dut_forward,2,8.575816,1.696837,1.696837,0.055000,1.641837,1.641837,55,-8.28,-4.57,4.750,OK
dut_forward,3,8.255166,1.633392,1.633392,0.055000,1.578392,1.578392,55,-8.22,-4.56,4.563,OK
dut_forward,4,8.472624,1.676419,1.676419,0.055000,1.621419,1.621419,55,-7.96,-4.56,4.636,OK
dut_forward,5,8.415300,1.665077,1.665077,0.055000,1.610077,1.610077,55,-8.02,-4.57,4.565,OK
dut_reversed,1,8.400557,1.662160,1.662160,0.055000,1.607160,1.607160,55,-7.71,-4.56,4.593,OK
dut_reversed,2,8.301560,1.642572,1.642572,0.055000,1.587572,1.587572,55,-7.59,-4.56,4.561,OK
dut_reversed,3,8.253222,1.633007,1.633007,0.055000,1.578007,1.578007,55,-7.66,-4.55,4.557,OK
dut_reversed,4,8.182664,1.619047,1.619047,0.055000,1.564047,1.564047,55,-7.75,-4.59,4.529,OK
dut_reversed,5,8.201222,1.622719,1.622719,0.055000,1.567719,1.567719,55,-7.84,-4.57,4.531,OK
