stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,41.583261,8.227790,8.227790,0.055000,8.172790,8.172790,55,-16.73,-4.76,2.492,OK
dut_forward,2,41.476225,8.206611,8.206611,0.055000,8.151611,8.151611,55,-17.35,-4.77,2.220,OK
dut_forward,3,41.628427,8.236726,8.236726,0.055000,8.181726,8.181726,55,-17.37,-4.74,2.027,OK
dut_forward,4,41.569640,8.225095,8.225095,0.055000,8.170095,8.170095,55,-17.42,-4.76,2.061,OK
dut_forward,5,41.508646,8.213026,8.213026,0.055000,8.158026,8.158026,55,-17.51,-4.77,2.110,OK
dut_reversed,1,41.660938,8.243159,8.243159,0.055000,8.188159,8.188159,55,-16.53,-4.76,2.031,OK
dut_reversed,2,41.688030,8.248520,8.248520,0.055000,8.193520,8.193520,55,-16.64,-4.75,1.914,OK
dut_reversed,3,41.700884,8.251063,8.251063,0.055000,8.196063,8.196063,55,-16.64,-4.73,1.893,OK
dut_reversed,4,41.580878,8.227318,8.227318,0.055000,8.172318,8.172318,55,-16.56,-4.76,2.062,OK
dut_reversed,5,41.623619,8.235775,8.235775,0.055000,8.180775,8.180775,55,-16.56,-4.77,2.003,OK
