stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,41.228972,8.157689,8.157689,0.055000,8.102689,8.102689,55,-17.34,-3.50,1.897,OK
dut_forward,2,41.228231,8.157542,8.157542,0.055000,8.102542,8.102542,55,-17.27,-3.50,1.785,OK
dut_forward,3,41.240157,8.159902,8.159902,0.055000,8.104902,8.104902,55,-17.24,-3.49,1.890,OK
dut_forward,4,41.255645,8.162967,8.162967,0.055000,8.107967,8.107967,55,-17.22,-3.48,1.761,OK
dut_forward,5,41.229124,8.157719,8.157719,0.055000,8.102719,8.102719,55,-17.29,-3.48,1.831,OK
dut_reversed,1,41.373450,8.186276,8.186276,0.055000,8.131276,8.131276,55,-17.31,-3.49,1.870,OK
dut_reversed,2,41.385046,8.188570,8.188570,0.055000,8.133570,8.133570,55,-17.38,-3.51,1.863,OK
dut_reversed,3,41.339222,8.179503,8.179503,0.055000,8.124503,8.124503,55,-17.47,-3.51,1.872,OK
dut_reversed,4,41.357119,8.183045,8.183045,0.055000,8.128045,8.128045,55,-17.46,-3.51,1.860,OK
dut_reversed,5,41.384268,8.188416,8.188416,0.055000,8.133416,8.133416,55,-17.41,-3.48,1.888,OK
