stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,5.895523,1.166506,1.166506,0.055000,1.111506,1.111506,55,-5.94,-3.33,1.022,OK
dut_forward,2,5.880530,1.163539,1.163539,0.055000,1.108539,1.108539,55,-5.96,-3.27,1.015,OK
dut_forward,3,5.895839,1.166569,1.166569,0.055000,1.111569,1.111569,55,-5.97,-3.30,1.005,OK
dut_forward,4,5.905639,1.168508,1.168508,0.055000,1.113508,1.113508,55,-5.94,-3.31,1.036,OK
dut_forward,5,5.885589,1.164540,1.164540,0.055000,1.109540,1.109540,55,-5.96,-3.29,1.018,OK
dut_reversed,1,5.954002,1.178077,1.178077,0.055000,1.123077,1.123077,55,-6.03,-3.28,1.088,OK
dut_reversed,2,5.974721,1.182176,1.182176,0.055000,1.127176,1.127176,55,-5.95,-3.29,1.081,OK
dut_reversed,3,5.971982,1.181634,1.181634,0.055000,1.126634,1.126634,55,-5.93,-3.32,1.059,OK
dut_reversed,4,5.000220,0.989359,0.989359,0.055000,0.934359,0.934359,55,-7.48,-3.31,0.959,OK
dut_reversed,5,4.542175,0.898728,0.898728,0.055000,0.843728,0.843728,55,-8.01,-3.30,0.963,OK
