stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,7.656333,1.514905,1.514905,0.055000,1.459905,1.459905,55,-7.70,-4.76,5.138,OK
dut_forward,2,7.717556,1.527019,1.527019,0.055000,1.472019,1.472019,55,-7.61,-4.75,5.135,OK
dut_forward,3,7.701434,1.523829,1.523829,0.055000,1.468829,1.468829,55,-7.59,-4.77,5.160,OK
dut_forward,4,7.728888,1.529261,1.529261,0.055000,1.474261,1.474261,55,-7.61,-4.75,5.146,OK
dut_forward,5,7.725638,1.528618,1.528618,0.055000,1.473618,1.473618,55,-7.60,-4.76,5.174,OK
dut_reversed,1,7.671632,1.517932,1.517932,0.055000,1.462932,1.462932,55,-7.65,-4.76,5.161,OK
dut_reversed,2,7.614941,1.506715,1.506715,0.055000,1.451715,1.451715,55,-7.65,-4.75,5.223,OK
dut_reversed,3,7.636244,1.510930,1.510930,0.055000,1.455930,1.455930,55,-7.65,-4.75,5.224,OK
dut_reversed,4,7.632034,1.510097,1.510097,0.055000,1.455097,1.455097,55,-7.63,-4.74,5.244,OK
dut_reversed,5,7.621361,1.507985,1.507985,0.055000,1.452985,1.452985,55,-7.65,-4.75,5.208,OK
